"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy uzyskał mandat"
3;6;4;"Andrzej ALEKSIEJCZUK";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"elektromonter";"Białystok";"206101";"m. Białystok";"członek partii politycznej: Nowa Lewica";"";2091;"8,44";"0,30";"Nie"
3;6;5;"Tomasz MAŃCZUK";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"przedsiębiorca";"Lipsk";"200104";"gm. Lipsk";"członek partii politycznej: Nowa Lewica";"";515;"2,08";"0,07";"Nie"
3;6;6;"Marta MROCZKOWSKA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Kobieta";"manager";"Białystok";"206101";"m. Białystok";"członek partii politycznej: Nowa Lewica";"";1640;"6,62";"0,24";"Nie"
3;6;7;"Beata DALKOWSKA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Kobieta";"ekonomista";"Węgorzewo";"281903";"gm. Węgorzewo";"członek partii politycznej: Nowa Lewica";"";511;"2,06";"0,07";"Nie"
3;6;8;"Ireneusz DZIENISIEWICZ";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"przedstawiciel władzy samorządowej";"Ełk";"280501";"m. Ełk";"członek partii politycznej: Nowa Lewica";"";648;"2,62";"0,09";"Nie"
3;6;9;"Tomasz KRUTUL";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"technik informatyk";"Nowodworce";"200213";"gm. Wasilków";"członek partii politycznej: Nowa Lewica";"";1038;"4,19";"0,15";"Nie"
3;6;10;"Marcin Robert KULASEK";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"parlamentarzysta";"Olsztyn";"286201";"m. Olsztyn";"członek partii politycznej: Nowa Lewica";"";4164;"16,81";"0,61";"Nie"
3;7;1;"Maciej Roman WĄSIK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"archeolog";"Warszawa";"146514";"Wawer";"członek partii politycznej: Prawo i Sprawiedliwość";"";85151;"33,70";"12,39";"Tak"
3;7;2;"Karol Adam KARSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"profesor prawa";"Białystok";"206101";"m. Białystok";"członek partii politycznej: Prawo i Sprawiedliwość";"";38777;"15,35";"5,64";"Nie"
3;7;3;"Adam ANDRUSZKIEWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Klepacze";"200201";"gm. Choroszcz";"członek partii politycznej: Prawo i Sprawiedliwość";"";78488;"31,07";"11,42";"Nie"
3;7;4;"Iwona Ewa ARENT";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"politolog";"Olsztyn";"286201";"m. Olsztyn";"członek partii politycznej: Prawo i Sprawiedliwość";"";10918;"4,32";"1,59";"Nie"
3;7;5;"Olga Ewa SEMENIUK-PATKOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"parlamentarzysta";"Warszawa";"146518";"Wola";"członek partii politycznej: Prawo i Sprawiedliwość";"";7137;"2,82";"1,04";"Nie"
3;7;6;"Jacek BOGUCKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"poseł na Sejm RP";"Siennica-Lipusy";"201303";"gm. Czyżew";"członek partii politycznej: Prawo i Sprawiedliwość";"";5834;"2,31";"0,85";"Nie"
3;7;7;"Bogusława ORZECHOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"lekarz medycyny";"Ostróda";"281501";"m. Ostróda";"członek partii politycznej: Prawo i Sprawiedliwość";"";5767;"2,28";"0,84";"Nie"
3;7;8;"Bernadeta KRYNICKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"pielęgniarka";"Łomża";"206201";"m. Łomża";"nie należy do partii politycznej";"";4683;"1,85";"0,68";"Nie"
3;7;9;"Robert GONTARZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"poseł";"Tuczki";"280306";"gm. Rybno";"członek partii politycznej: Prawo i Sprawiedliwość";"";9339;"3,70";"1,36";"Nie"
3;7;10;"Sebastian ŁUKASZEWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"poseł na Sejm RP";"Kozińce";"200203";"gm. Dobrzyniewo Duże";"członek partii politycznej: Suwerenna Polska";"";6544;"2,59";"0,95";"Nie"
3;8;1;"Jarosław GALEJ";"KOMITET WYBORCZY NORMALNY KRAJ";"Mężczyzna";"przedsiębiorca";"Białystok";"206101";"m. Białystok";"członek partii politycznej: Normalny Kraj";"";836;"27,37";"0,12";"Nie"
3;8;2;"Tadeusz Janusz POŹNIAK";"KOMITET WYBORCZY NORMALNY KRAJ";"Mężczyzna";"nauczyciel akademicki";"Olsztyn";"286201";"m. Olsztyn";"nie należy do partii politycznej";"";256;"8,38";"0,04";"Nie"
3;8;3;"Dorota RADZISZEWSKA";"KOMITET WYBORCZY NORMALNY KRAJ";"Kobieta";"psycholog";"Białystok";"206101";"m. Białystok";"nie należy do partii politycznej";"";506;"16,57";"0,07";"Nie"
3;8;4;"Leszek GOSK";"KOMITET WYBORCZY NORMALNY KRAJ";"Mężczyzna";"ekspert przyrodniczy";"Rutki";"201403";"gm. Rutki";"nie należy do partii politycznej";"";229;"7,50";"0,03";"Nie"
3;8;5;"Danuta NOWOSIELSKA";"KOMITET WYBORCZY NORMALNY KRAJ";"Kobieta";"ekonomista";"Nowa Wieś Wielka";"281101";"gm. Janowiec Kościelny";"nie należy do partii politycznej";"";249;"8,15";"0,04";"Nie"
3;8;6;"Marian CZAPLIŃSKI";"KOMITET WYBORCZY NORMALNY KRAJ";"Mężczyzna";"technik budowlany";"Radosty";"281401";"gm. Barczewo";"nie należy do partii politycznej";"";192;"6,29";"0,03";"Nie"
3;8;8;"Alina ERDENE-OCHIR";"KOMITET WYBORCZY NORMALNY KRAJ";"Kobieta";"przedsiębiorca";"Lubawa";"280702";"m. Lubawa";"nie należy do partii politycznej";"";117;"3,83";"0,02";"Nie"
3;8;9;"Monika Dorota ŻURAWSKA-WIĄCEK";"KOMITET WYBORCZY NORMALNY KRAJ";"Kobieta";"rolnik";"Liwa";"281507";"gm. Miłomłyn";"nie należy do partii politycznej";"";195;"6,39";"0,03";"Nie"
3;8;10;"Patryk OLĘNCKI";"KOMITET WYBORCZY NORMALNY KRAJ";"Mężczyzna";"geograf";"Białystok";"206101";"m. Białystok";"członek partii politycznej: Nowa Nadzieja";"";305;"9,99";"0,04";"Nie"
4;1;1;"Michał Andrzej KOBOSKO";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"dziennikarz";"Warszawa";"146505";"Mokotów";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";39170;"42,52";"3,00";"Tak"
4;1;2;"Dorota Janina STALIŃSKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"aktorka";"Milanówek";"140501";"m. Milanówek";"nie należy do partii politycznej";"";15338;"16,65";"1,18";"Nie"
4;1;3;"Mikołaj Jan DOROŻAŁA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"menadżer";"Żelisław-Kolonia";"101402";"gm. Błaszki";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";3126;"3,39";"0,24";"Nie"
4;1;4;"Magdalena BIERNACKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"wyższy urzędnik samorządowy";"Nasielsk";"141404";"gm. Nasielsk";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";5915;"6,42";"0,45";"Nie"
4;1;5;"Łukasz KRASOŃ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"trener osobisty";"Warszawa";"146513";"Ursynów";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";3326;"3,61";"0,25";"Nie"
4;1;6;"Agnieszka Beata PETELICKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"ekonomista";"Warszawa";"146505";"Mokotów";"nie należy do partii politycznej";"";3168;"3,44";"0,24";"Nie"
4;1;7;"Bożenna Urszula HOŁOWNIA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"hydrolog";"Warszawa";"146505";"Mokotów";"nie należy do partii politycznej";"";12796;"13,89";"0,98";"Nie"
4;1;8;"Marcin WAJDA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"nauczyciel akademicki";"Warszawa";"146505";"Mokotów";"nie należy do partii politycznej";"";2388;"2,59";"0,18";"Nie"
4;1;9;"Jacek BARTMIŃSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"prawnik";"Warszawa";"146503";"Białołęka";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";1719;"1,87";"0,13";"Nie"
4;1;10;"Anna Małgorzata OJER";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"ekonomista";"Warszawa";"146514";"Wawer";"nie należy do partii politycznej";"";5165;"5,61";"0,40";"Nie"
4;2;1;"Krystian Patryk KAMIŃSKI";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"przedsiębiorca";"Zielona Góra";"086201";"m. Zielona Góra";"członek partii politycznej: Konfederacja Wolność i Niepodległość";"";34428;"22,06";"2,64";"Nie"
4;2;2;"Ewa ZAJĄCZKOWSKA-HERNIK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"dziennikarz";"Radom";"146301";"m. Radom";"członek partii politycznej: Nowa Nadzieja";"";102569;"65,72";"7,86";"Tak"
4;2;3;"Diana Danuta RUCHNIEWICZ";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"przedsiębiorca";"Święcice";"143206";"gm. Ożarów Mazowiecki";"członek partii politycznej: Konfederacja Korony Polskiej";"";5597;"3,59";"0,43";"Nie"
4;2;4;"Sylwia Maria PAWEŁCZAK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"dziennikarz";"Warszawa";"146513";"Ursynów";"członek partii politycznej: Polska Jest Jedna";"";2643;"1,69";"0,20";"Nie"
4;2;5;"Liliana WIADROWSKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"dziennikarz";"Elbląg";"286101";"m. Elbląg";"członek partii politycznej: Ruch Narodowy";"";1185;"0,76";"0,09";"Nie"
4;2;6;"Agnieszka GROSZKOWSKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"specjalista do spraw rozwoju produktu";"Warszawa";"146506";"Ochota";"członek partii politycznej: Ruch Narodowy";"";1379;"0,88";"0,11";"Nie"
4;2;7;"Mikołaj KOMINEK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"rolnik";"Wola Cygowska";"143408";"gm. Poświętne";"nie należy do partii politycznej";"";2291;"1,47";"0,18";"Nie"
4;2;8;"Dominik OWSIANKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"dyrektor biura";"Dąbrowa";"143305";"gm. Łochów";"członek partii politycznej: Ruch Narodowy";"";997;"0,64";"0,08";"Nie"
4;2;9;"Paulina Adrianna KALINOWSKA";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Kobieta";"grafik komputerowy";"Warszawa";"146504";"Bielany";"nie należy do partii politycznej";"";1621;"1,04";"0,12";"Nie"
4;2;10;"Bartłomiej Fabian WILK";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"Mężczyzna";"magazynier";"Zawiercie";"241602";"m. Zawiercie";"członek partii politycznej: Ruch Narodowy";"";3357;"2,15";"0,26";"Nie"
4;3;1;"Marek Marian WOCH";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Mężczyzna";"prawnik";"Kąkolewnica";"061504";"gm. Kąkolewnica";"nie należy do partii politycznej";"";3326;"24,11";"0,25";"Nie"
4;3;2;"Wioletta Marta JACHOWICZ-WRÓBLEWSKA";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Kobieta";"finansista";"Józefów";"141701";"m. Józefów";"nie należy do partii politycznej";"";2023;"14,66";"0,16";"Nie"
4;3;3;"Wojciech KOSSAKOWSKI";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Mężczyzna";"inżynier elektronik";"Warszawa";"146505";"Mokotów";"nie należy do partii politycznej";"";1675;"12,14";"0,13";"Nie"
4;3;4;"Barbara Joanna BARDADYN";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Kobieta";"przedsiębiorca";"Warszawa";"146507";"Praga-Południe";"nie należy do partii politycznej";"";957;"6,94";"0,07";"Nie"
4;3;5;"Robert TAMIOŁA";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Mężczyzna";"informatyk";"Czarny Las";"140504";"gm. Grodzisk Mazowiecki";"nie należy do partii politycznej";"";530;"3,84";"0,04";"Nie"
4;3;6;"Krystyna Anna KRZEKOTOWSKA";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Kobieta";"prawnik";"Warszawa";"146504";"Bielany";"nie należy do partii politycznej";"";678;"4,91";"0,05";"Nie"
4;3;7;"Piotr Roman KLONOWSKI";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Mężczyzna";"kierownik budowy";"Warszawa";"146513";"Ursynów";"nie należy do partii politycznej";"";437;"3,17";"0,03";"Nie"
4;3;8;"Aleksandra Agnieszka RUTKOWSKA";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Kobieta";"menadżerka";"Zakręt";"141708";"gm. Wiązowna";"nie należy do partii politycznej";"";1210;"8,77";"0,09";"Nie"
4;3;9;"Krzysztof KOWALCZYK";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Mężczyzna";"fizyk";"Warszawa";"146503";"Białołęka";"nie należy do partii politycznej";"";897;"6,50";"0,07";"Nie"
4;3;10;"Anna RYKOWSKA";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Kobieta";"prawnik";"Pruszków";"142102";"m. Pruszków";"nie należy do partii politycznej";"";2064;"14,96";"0,16";"Nie"
4;4;1;"Tomasz Adam KWIATKOWSKI";"KOMITET WYBORCZY POLEXIT";"Mężczyzna";"rolnik";"Raszyn";"142106";"gm. Raszyn";"nie należy do partii politycznej";"";1635;"53,68";"0,13";"Nie"
4;4;2;"Marian Franciszek GANKIEWICZ";"KOMITET WYBORCZY POLEXIT";"Mężczyzna";"nauczyciel przedmiotu w szkole podstawowej";"Kraków";"126101";"m. Kraków";"członek partii politycznej: Kongres Nowej Prawicy";"";197;"6,47";"0,02";"Nie"
4;4;3;"Patryk Michał RYKAŁA";"KOMITET WYBORCZY POLEXIT";"Mężczyzna";"technik informatyk";"Niechobrz";"181603";"gm. Boguchwała";"nie należy do partii politycznej";"";123;"4,04";"0,01";"Nie"
4;4;4;"Krystyna PASIOWIEC-ŻUREK";"KOMITET WYBORCZY POLEXIT";"Kobieta";"chemik";"Kraków";"126101";"m. Kraków";"nie należy do partii politycznej";"";146;"4,79";"0,01";"Nie"
4;4;5;"Agnieszka Angelika ZIEMBLA";"KOMITET WYBORCZY POLEXIT";"Kobieta";"przedstawiciel handlowy";"Brzegi";"121905";"gm. Wieliczka";"nie należy do partii politycznej";"";127;"4,17";"0,01";"Nie"
4;4;6;"Michał Jan HALKO";"KOMITET WYBORCZY POLEXIT";"Mężczyzna";"robotnik budowlany";"Dąbrówka Starzeńska";"181605";"gm. Dynów";"nie należy do partii politycznej";"";104;"3,41";"0,01";"Nie"
4;4;7;"Joanna Maria TERLECKA";"KOMITET WYBORCZY POLEXIT";"Kobieta";"pedagog";"Warszawa";"146507";"Praga-Południe";"nie należy do partii politycznej";"";151;"4,96";"0,01";"Nie"
4;4;8;"Paweł Edward KRÓL";"KOMITET WYBORCZY POLEXIT";"Mężczyzna";"lekarz dentysta";"Kraków";"126101";"m. Kraków";"nie należy do partii politycznej";"";184;"6,04";"0,01";"Nie"
4;4;9;"Iwona Beata GRABOWSKA";"KOMITET WYBORCZY POLEXIT";"Kobieta";"ekonomista";"Katowice";"246901";"m. Katowice";"nie należy do partii politycznej";"";158;"5,19";"0,01";"Nie"
4;4;10;"Andrzej TARKOWSKI-KILISZEWSKI";"KOMITET WYBORCZY POLEXIT";"Mężczyzna";"radca prawny";"Warszawa";"146507";"Praga-Południe";"nie należy do partii politycznej";"";221;"7,26";"0,02";"Nie"
4;5;1;"Marcin Piotr KIERWIŃSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Mężczyzna";"parlamentarzysta";"Warszawa";"146516";"Wilanów";"członek partii politycznej: Platforma Obywatelska RP";"";143179;"24,69";"10,97";"Tak"
4;5;2;"Hanna Beata GRONKIEWICZ-WALTZ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Kobieta";"nauczyciel akademicki";"Warszawa";"146514";"Wawer";"członek partii politycznej: Platforma Obywatelska RP";"";94474;"16,29";"7,24";"Nie"
4;5;3;"Kamila GASIUK-PIHOWICZ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Kobieta";"prawniczka";"Pruszków";"142102";"m. Pruszków";"członek partii politycznej: Platforma Obywatelska RP";"";136811;"23,59";"10,49";"Tak"
4;5;4;"Joanna Aleksandra KAMIŃSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Kobieta";"doradca polityczny";"Warszawa";"146506";"Ochota";"członek partii politycznej: Zieloni";"";28104;"4,85";"2,15";"Nie"
4;5;5;"Michał Roch SZCZERBA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Mężczyzna";"parlamentarzysta";"Warszawa";"146518";"Wola";"członek partii politycznej: Platforma Obywatelska RP";"";120667;"20,80";"9,25";"Tak"
4;5;6;"Krystyna Maria DEMSKA-OLBRYCHSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Kobieta";"kulturoznawca";"Podkowa Leśna";"140502";"m. Podkowa Leśna";"członek partii politycznej: Platforma Obywatelska RP";"";3125;"0,54";"0,24";"Nie"
4;5;7;"Andrzej Tadeusz ROZENEK";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Mężczyzna";"dziennikarz";"Warszawa";"146507";"Praga-Południe";"członek partii politycznej: Platforma Obywatelska RP";"";24070;"4,15";"1,84";"Nie"
4;5;8;"Joanna Maria STANISZKIS";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Kobieta";"nauczyciel";"Warszawa";"146510";"Śródmieście";"członek partii politycznej: Platforma Obywatelska RP";"";16080;"2,77";"1,23";"Nie"
4;5;9;"Patryk Jan LUBOIŃSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Mężczyzna";"przedstawiciel władzy samorządowej";"Kiełpin";"143205";"gm. Łomianki";"członek partii politycznej: Platforma Obywatelska RP";"";1462;"0,25";"0,11";"Nie"
4;5;10;"Olga RADWAN";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Kobieta";"przedsiębiorca";"Wołomin";"143412";"gm. Wołomin";"członek partii politycznej: Platforma Obywatelska RP";"";12022;"2,07";"0,92";"Nie"
4;6;1;"Robert BIEDROŃ";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"polityk";"Warszawa";"146506";"Ochota";"członek partii politycznej: Nowa Lewica";"";65869;"48,52";"5,05";"Tak"
4;6;2;"Karolina ZIOŁO-PUŻUK";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Kobieta";"nauczyciel akademicki";"Warszawa";"146519";"Żoliborz";"członek partii politycznej: Nowa Lewica";"";16368;"12,06";"1,25";"Nie"
4;6;3;"Agata Martyna DIDUSZKO-ZYGLEWSKA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Kobieta";"dziennikarka";"Warszawa";"146510";"Śródmieście";"członek partii politycznej: Nowa Lewica";"";17311;"12,75";"1,33";"Nie"
4;6;4;"Zofia Anna MALISZ";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Kobieta";"nauczyciel akademicki";"Szczecin";"326201";"m. Szczecin";"członek partii politycznej: Lewica Razem";"";22606;"16,65";"1,73";"Nie"
4;6;5;"Jacek Zbigniew KUBIAK";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"naukowiec";"Pruszków";"142102";"m. Pruszków";"członek partii politycznej: Nowa Lewica";"";1108;"0,82";"0,08";"Nie"
4;6;6;"Jan Filip HARASYMOWICZ";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"inżynier budownictwa";"Legionowo";"140801";"m. Legionowo";"członek partii politycznej: Lewica Razem";"";3171;"2,34";"0,24";"Nie"
4;6;7;"Anna Małgorzata TARCZYŃSKA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Kobieta";"radca prawny";"Sadowa";"143205";"gm. Łomianki";"członek partii politycznej: Nowa Lewica";"";1962;"1,45";"0,15";"Nie"
4;6;8;"Szymon NOWAK";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Mężczyzna";"prawnik";"Warszawa";"146504";"Bielany";"członek partii politycznej: Nowa Lewica";"";1783;"1,31";"0,14";"Nie"
4;6;9;"Liliana KOZIELSKA";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Kobieta";"dyrektorka";"Lesznowola";"141803";"gm. Lesznowola";"członek partii politycznej: Nowa Lewica";"";1765;"1,30";"0,14";"Nie"
4;6;10;"Paulina Krystyna PIECHNA-WIĘCKIEWICZ";"KOALICYJNY KOMITET WYBORCZY LEWICA";"Kobieta";"prawnik";"Warszawa";"146505";"Mokotów";"członek partii politycznej: Nowa Lewica";"";3812;"2,81";"0,29";"Nie"
4;7;1;"Małgorzata Maria GOSIEWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"parlamentarzysta";"Warszawa";"146518";"Wola";"członek partii politycznej: Prawo i Sprawiedliwość";"";99286;"30,66";"7,61";"Tak"
4;7;2;"Tobiasz Adam BOCHEŃSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"prawnik";"Warszawa";"146508";"Praga-Północ";"członek partii politycznej: Prawo i Sprawiedliwość";"";95880;"29,60";"7,35";"Tak"
4;7;3;"Sebastian Jerzy KALETA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"radca prawny";"Warszawa";"146511";"Targówek";"członek partii politycznej: Suwerenna Polska";"";80778;"24,94";"6,19";"Nie"
4;7;4;"Anita CZERWIŃSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"prawnik";"Wyględy";"143204";"gm. Leszno";"członek partii politycznej: Prawo i Sprawiedliwość";"";7574;"2,34";"0,58";"Nie"
4;7;5;"Alvin GAJADHUR";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"urzędnik państwowy";"Warszawa";"146505";"Mokotów";"nie należy do partii politycznej";"";6182;"1,91";"0,47";"Nie"
4;7;6;"Dominika Małgorzata CHOROSIŃSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"parlamentarzysta";"Konstancin-Jeziorna";"141802";"gm. Konstancin-Jeziorna";"członek partii politycznej: Prawo i Sprawiedliwość";"";6930;"2,14";"0,53";"Nie"
4;7;7;"Piotr Michał UŚCIŃSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Ząbki";"143403";"m. Ząbki";"członek partii politycznej: Prawo i Sprawiedliwość";"";9747;"3,01";"0,75";"Nie"
4;7;8;"Paweł Jacek LISIECKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"historyk";"Warszawa";"146508";"Praga-Północ";"członek partii politycznej: Prawo i Sprawiedliwość";"";7877;"2,43";"0,60";"Nie"
4;7;9;"Barbara Jadwiga SOCHA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"ekonomista";"Warszawa";"146514";"Wawer";"członek partii politycznej: Prawo i Sprawiedliwość";"";3503;"1,08";"0,27";"Nie"
4;7;10;"Błażej Leszek POBOŻY";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"nauczyciel akademicki";"Warszawa";"146518";"Wola";"członek partii politycznej: Prawo i Sprawiedliwość";"";6111;"1,89";"0,47";"Nie"
5;1;1;"Bożena Jadwiga ŻELAZOWSKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"politolog";"Józefów";"141701";"m. Józefów";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";21790;"33,32";"3,03";"Nie"
